date;value
2021-01-02;0
2021-01-03;0
2021-01-04;0
2021-01-05;0
2021-01-06;0
2021-01-07;0
2021-01-08;0
2021-01-09;0
2021-01-10;7
2021-01-12;2
2021-01-13;5
2021-01-14;1
2021-01-15;2
2021-01-16;5
2021-01-17;7
2021-01-18;3
2021-01-19;9
2021-01-21;8
2021-01-22;11
2021-01-24;14
2021-01-25;41
2021-01-26;18
2021-01-27;33
2021-01-29;34
2021-01-30;32
2021-01-31;34
2021-02-01;73
2021-02-02;49
2021-02-03;137
2021-02-04;176
2021-02-05;91
2021-02-06;96
2021-02-07;182
2021-02-09;230
2021-02-10;241
2021-02-11;270
2021-02-12;327
2021-02-13;282
2021-02-14;358
2021-02-15;394
2021-02-16;421
2021-02-17;805
2021-02-18;539
2021-02-19;811
2021-02-20;725
2021-02-21;658
2021-02-22;736
2021-02-23;636
2021-02-24;900
2021-02-25;688
2021-02-26;357
2021-02-27;502
2021-02-28;292
2021-03-01;296
2021-03-02;271
2021-03-03;191
2021-03-04;123
2021-03-05;146
2021-03-06;39
2021-03-07;59
2021-03-08;54
2021-03-09;52
2021-03-10;49
2021-03-11;46
2021-03-12;53
2021-03-13;36
2021-03-14;23
2021-03-15;24
2021-03-16;28
2021-03-17;13
2021-03-18;26
2021-03-19;10
2021-03-20;17
2021-03-21;18
2021-03-22;9
2021-03-23;8
2021-03-24;12
2021-03-25;3
2021-03-26;14
2021-03-27;7
2021-03-28;8
2021-03-29;11
2021-03-30;8
2021-03-31;4
2021-04-01;5
2021-04-02;4
2021-04-03;3
2021-04-04;7
2021-04-05;3
2021-04-06;1
2021-04-07;4
2021-04-08;3
2021-04-09;6
2021-04-10;2
2021-04-11;2
