date;value
2021-01-02;0
2021-01-03;0
2021-01-04;0
2021-01-05;0
2021-01-06;0
2021-01-07;0
2021-01-08;0
2021-01-09;0
2021-01-10;0
2021-01-11;1
2021-01-12;0
2021-01-13;0
2021-01-14;0
2021-01-15;0
2021-01-17;0
2021-01-18;0
2021-01-19;0
2021-01-20;0
2021-01-21;1
2021-01-22;1
2021-01-23;0
2021-01-24;1
2021-01-25;1
2021-01-26;0
2021-01-28;3
2021-01-29;2
2021-01-30;0
2021-01-31;4
2021-02-01;3
2021-02-02;1
2021-02-03;3
2021-02-04;7
2021-02-05;5
2021-02-06;6
2021-02-07;5
2021-02-08;12
2021-02-09;16
2021-02-10;12
2021-02-11;9
2021-02-12;14
2021-02-14;9
2021-02-15;17
2021-02-16;24
2021-02-17;22
2021-02-18;29
2021-02-19;26
2021-02-20;20
2021-02-21;19
2021-02-22;18
2021-02-23;16
2021-02-24;25
2021-02-25;27
2021-02-26;23
2021-02-27;24
2021-03-01;13
2021-03-03;12
2021-03-04;4
2021-03-05;12
2021-03-06;7
2021-03-07;3
2021-03-08;5
2021-03-09;5
2021-03-10;8
2021-03-11;2
2021-03-12;5
2021-03-13;3
2021-03-15;1
2021-03-16;2
2021-03-17;0
2021-03-18;0
2021-03-19;3
2021-03-20;0
2021-03-21;3
2021-03-22;2
2021-03-24;2
2021-03-25;0
2021-03-26;1
2021-03-27;0
2021-03-28;0
2021-03-29;0
2021-03-30;1
2021-03-31;1
2021-04-01;0
2021-04-02;0
2021-04-03;0
2021-04-04;1
2021-04-05;0
2021-04-06;1
2021-04-07;0
2021-04-08;0
2021-04-10;0
2021-04-11;0
